givennameLabel;qid
Gough;Q56434345
Goulburn;Q91088296
Gould;Q90398740
Graça;Q21286074
Grafton;Q83776837
Granger;Q42316690
Grantham;Q102522029
Gray;Q29514598
Greer;Q29763315
Gregoire;Q21147857
Grenfell;Q60330049
Gresham;Q57998115
Gresley;Q110637987
Gridley;Q113128437
Grier;Q104434350
Griet;Q27468527
Gro;Q3480578
Grosvenor;Q107636879
Grove;Q75976043
Gu;Q110868297
Gualberto;Q3778105
Guan;Q105453700
Guan;Q97651912
Guǎng;Q96108473
Guangyao;Q94574115
Guāngyì;Q125157417
Guanying;Q94088555
Gui;Q106804273
Guī;Q125166568
Guī;Q125216564
Guī;Q125216874
Guìhé;Q125230221
Gulli;Q101095557
Gulliver;Q110783478
Gunar;Q101379588
Guo;Q96099058
Guò;Q124806382
Guoguang;Q106766951
Guohua;Q110652659
Guólín;Q124756153
Guóqiáng;Q97783892
Guóqīng;Q124466783
Guorong;Q106914882
Guowei;Q96099044
Guoxiong;Q110652672
Guozhang;Q110920295
Guózhōng;Q124814987
Gurney;Q21079771
Guthrie;Q30326340
Guyon;Q29493710
Gwang;Q6450158
H.;Q19803505
Ha;Q20083683
Hà;Q112611426
Habibe;Q122216049
Hack;Q85661682
Hadas;Q56119863
Haddon;Q35350120
Haden;Q110796692
Hafid;Q101427450
Hǎi;Q96079668
Hải;Q100604623
Hajdar;Q123818722
Hajredin;Q123818717
Hakeem;Q62029375
Haldane;Q84200544
Haley;Q21127484
Halim;Q122207021
Hallam;Q27772802
Halle;Q21993666
Haller;Q111046004
Hallett;Q91732089
Halliday;Q42290866
Hamada;Q16276231
Hamdija;Q123818703
Hamer;Q101116146
Hamide;Q123818699
Hamlin;Q115022757
Hammond;Q30146120
Hamon;Q42062759
Hampden;Q57599639
Han;Q106763805
Han;Q108582536
Han;Q94694270
Hán;Q124749616
Hanan;Q65084898
Handley;Q51954853
Hang;Q69512881
Hanjo;Q98967996
Hans-Henning;Q125762550
Hansjoachim;Q62252550
Hanson;Q89502593
Hao;Q104376628
Hao;Q104377081
Haoran;Q104376156
Happiness;Q124667867
Happy;Q61438618
Harbord;Q111048137
Harden;Q100271064
Hardev;Q115203406
Hardie;Q56289502
Hardinge;Q90773394
Hardman;Q104637684
Hargrave;Q110900124
Hargreaves;Q110797919
Hariet;Q108879138
Harlin;Q111038791
Harlow;Q64831101
Harman;Q21143000
Harsh;Q56254010
Hartman;Q21146890
Harvard;Q111039902
Harvie;Q16290290
Harwood;Q105944780
Hastings;Q38687653
Hauwa;Q117780216
Hawley;Q54094127
Hawtrey;Q105448416
Haydon;Q50329401
Hayes;Q56189781
Haykaz;Q16387928
Hayo;Q65824830
Hayward;Q16276492
Haywood;Q97703885
Hazard;Q43079965
He;Q96251284
He;Q98399536
Hé;Q125206533
Hé;Q125246751
Hé;Q125310450
Hé;Q96068598
Head;Q113479190
Headley;Q110897878
Heaton;Q94480423
Hebe;Q43536241
Héctor;Q19688549
Heigo;Q50376267
Helder;Q20000413
Helenus;Q21143222
Helidon;Q123817528
Helios;Q123817525
Helke;Q1001236
Héloïse;Q18606335
Hemant;Q54666588
Hendricus;Q17516106
Hendrikje;Q21142078
Hendrix;Q110845506
Heng;Q105622731
Heng;Q107096979
Héng;Q125132436
Héng;Q125313775
Henshaw;Q111243567
Henson;Q26004614
Hepburn;Q111048139
Hepworth;Q108072900
Hermen;Q21142747
Hermon;Q21020443
Herrick;Q20155930
Herries;Q88947886
Hessel;Q21142774
Hewitt;Q107359514
Hey;Q90766951
Heydar;Q23049138
Hickman;Q113128438
Hicks;Q62073633
Hidayet;Q26810465
Hiếu;Q108172167
Higgins;Q104836740
Hildi;Q105502439
Hill;Q30228508
Himanshu;Q54006398
Hinds;Q110941613
Hinton;Q64026668
Hippoliet;Q18821737
Hiqmet;Q122207322
Hiraku;Q22953484
Hoàng;Q112661390
Hobson;Q108764590
Hoda;Q93997185
Hodder;Q113128146
Hojjat;Q126690136
Holbrook;Q50325865
Holden;Q16276905
Holdsworth;Q108659793
Holford;Q110852231
Holloway;Q133176334
Holton;Q112902981
Home;Q21079777
Hong;Q105627065
Hong;Q106761132
Hong;Q20089345
Hong;Q86589112
Hóng;Q124359413
Hóng;Q125230917
Hồng;Q112609769
Hongmei;Q59812991
Hóngrú;Q124372009
Hongyan;Q98049992
Honorine;Q21279029
Hooman;Q5898231
Hooper;Q27678415
Hopton;Q106468561
Horsburgh;Q125666879
Horsley;Q88291800
Hòu;Q125205900
Howe;Q29598746
Howel;Q97664774
Hua;Q110941082
Huái;Q125243799
Huan;Q110961842
Huan;Q110961881
Huan;Q110961892
Huán;Q125188954
Hub;Q25126013
Huda;Q4273538
Hudleston;Q111536966
Huệ;Q3143539
Hughie;Q25114324
Hui;Q104517179
Hui;Q105723439
Hui;Q108471308
Hui;Q108502967
Hui;Q17151875
Hui;Q96483225
Huiling;Q108471439
Hùng;Q104626010
Hungerford;Q61996158
Hương;Q112581009
Hurst;Q111072910
Hüsamettin;Q31837226
Hutton;Q104178974
Hyacinth;Q22205315
Hyacinthus;Q48074947
Hyatt;Q91528589
Hyeon;Q27342716
Hyeong-gu;Q69508093
