namekey;imageurl;person;personLabel;personDescription;wikipediaENurl
http://www.wikidata.org/entity/Q20796710;https://commons.wikimedia.org/wiki/Special:Redirect/file/David_McTaggart_%28directeur_Greenpeace%29_in_Amsterdam%2C_Bestanddeelnr_931-3743.jpg?width=1024;http://www.wikidata.org/entity/Q1175627;David McTaggart;badminton player and Greenpeace founder (1932–2001);https://en.wikipedia.org/wiki/David_McTaggart
http://www.wikidata.org/entity/Q16278998;https://commons.wikimedia.org/wiki/Special:Redirect/file/Kuijf.jpg?width=1024;http://www.wikidata.org/entity/Q11769988;Rini Kuijf;Dutch chess player;https://en.wikipedia.org/wiki/Marinus_Kuijf
http://www.wikidata.org/entity/Q13577249;https://commons.wikimedia.org/wiki/Special:Redirect/file/Mateo_Ru%C5%BEi%C4%87_Leichtathletik_Gala_Linz_2018-6057_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q11771319;Mateo Ružić;Croatian athlete;https://en.wikipedia.org/wiki/Mateo_Ru%C5%BEi%C4%87
http://www.wikidata.org/entity/Q62123942;https://commons.wikimedia.org/wiki/Special:Redirect/file/DeAndre_Haynes.jpg?width=1024;http://www.wikidata.org/entity/Q1179480;DeAndre Haynes;American basketball player and coach;https://en.wikipedia.org/wiki/DeAndre_Haynes
http://www.wikidata.org/entity/Q62123942;https://commons.wikimedia.org/wiki/Special:Redirect/file/DeAndre_Levy.JPG?width=1024;http://www.wikidata.org/entity/Q1179485;DeAndre Levy;American football player (born 1987);https://en.wikipedia.org/wiki/DeAndre_Levy
http://www.wikidata.org/entity/Q116257152;https://commons.wikimedia.org/wiki/Special:Redirect/file/Robert_Aglionby_Slaney_1847_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q11802984;Robert Aglionby Slaney;"British politician; (1792-1862)";https://en.wikipedia.org/wiki/Robert_Aglionby_Slaney
http://www.wikidata.org/entity/Q66735831;https://commons.wikimedia.org/wiki/Special:Redirect/file/DeWittCFlanagan.jpg?width=1024;http://www.wikidata.org/entity/Q1180513;De Witt C. Flanagan;American politician (1870-1946);https://en.wikipedia.org/wiki/De_Witt_C._Flanagan
http://www.wikidata.org/entity/Q97482039;https://commons.wikimedia.org/wiki/Special:Redirect/file/Dean_smith_2013.jpg?width=1024;http://www.wikidata.org/entity/Q1181130;Dean Smith;American athletics competitor, stuntman and actor (1932–2023);https://en.wikipedia.org/wiki/Dean_Smith_(sprinter)
http://www.wikidata.org/entity/Q110707500;https://commons.wikimedia.org/wiki/Special:Redirect/file/Deborah_Jin%2C_October_2014.jpg?width=1024;http://www.wikidata.org/entity/Q1181574;Deborah S. Jin;American physicist (1968–2016);https://en.wikipedia.org/wiki/Deborah_S._Jin
http://www.wikidata.org/entity/Q21042811;https://commons.wikimedia.org/wiki/Special:Redirect/file/Del_M._Clawson.jpg?width=1024;http://www.wikidata.org/entity/Q1183791;Del M. Clawson;American politician (1914-1992);https://en.wikipedia.org/wiki/Del_M._Clawson
http://www.wikidata.org/entity/Q21042811;https://commons.wikimedia.org/wiki/Special:Redirect/file/Del_Moore_in_Life_with_Elizabeth_%281953%29.jpg?width=1024;http://www.wikidata.org/entity/Q1183800;Del Moore;comedian, actor and radio announcer (1916-1970);https://en.wikipedia.org/wiki/Del_Moore
http://www.wikidata.org/entity/Q55077301;https://commons.wikimedia.org/wiki/Special:Redirect/file/Seaton_Grantland_NPG-SSSA0459.png?width=1024;http://www.wikidata.org/entity/Q118414;Seaton Grantland;American politician (1782-1864);https://en.wikipedia.org/wiki/Seaton_Grantland
http://www.wikidata.org/entity/Q16275047;https://commons.wikimedia.org/wiki/Special:Redirect/file/Yemi_Mobolade_Subscriber_of_the_Month_%28cropped%29.png?width=1024;http://www.wikidata.org/entity/Q118431275;Yemi Mobolade;American businessman and politician;https://en.wikipedia.org/wiki/Yemi_Mobolade
http://www.wikidata.org/entity/Q104434343;https://commons.wikimedia.org/wiki/Special:Redirect/file/Delos_R._Ashley_%28Nevada_Congressman%29.jpg?width=1024;http://www.wikidata.org/entity/Q1184601;Delos R. Ashley;American politician (1828-1873);https://en.wikipedia.org/wiki/Delos_R._Ashley
http://www.wikidata.org/entity/Q16290543;https://commons.wikimedia.org/wiki/Special:Redirect/file/D_Lowell_Jensen_Senior_District_Judge.jpg?width=1024;http://www.wikidata.org/entity/Q1185066;D. Lowell Jensen;United States federal judge;https://en.wikipedia.org/wiki/D._Lowell_Jensen
http://www.wikidata.org/entity/Q85523585;https://commons.wikimedia.org/wiki/Special:Redirect/file/DMallet.JPG?width=1024;http://www.wikidata.org/entity/Q1186473;Demond Mallet;American basketball player;https://en.wikipedia.org/wiki/Demond_Mallet
http://www.wikidata.org/entity/Q4068496;https://commons.wikimedia.org/wiki/Special:Redirect/file/Aram-Bartholl-2011-credits-Eva-Paulsen.jpg?width=1024;http://www.wikidata.org/entity/Q118754;Aram Bartholl;German visual artist;https://en.wikipedia.org/wiki/Aram_Bartholl
http://www.wikidata.org/entity/Q11875404;https://commons.wikimedia.org/wiki/Special:Redirect/file/Lempi_1940-luvulla.jpg?width=1024;http://www.wikidata.org/entity/Q11875406;Lempi Ikävalko;Finnish writer and actor;https://en.wikipedia.org/wiki/Lempi_Ik%C3%A4valko
http://www.wikidata.org/entity/Q11875404;https://commons.wikimedia.org/wiki/Special:Redirect/file/Lempi_Tuomi.jpg?width=1024;http://www.wikidata.org/entity/Q11875411;Lempi Tuomi;Finnish seamstress and politician (1882-1958);https://en.wikipedia.org/wiki/Lempi_Tuomi
http://www.wikidata.org/entity/Q112123734;https://commons.wikimedia.org/wiki/Special:Redirect/file/Mirel_Wagner_-_Waves_Vienna_2014_c.jpg?width=1024;http://www.wikidata.org/entity/Q11882972;Mirel Wagner;Finnish singer-songwriter;https://en.wikipedia.org/wiki/Mirel_Wagner
http://www.wikidata.org/entity/Q7560775;https://commons.wikimedia.org/wiki/Special:Redirect/file/Sonam-Kapoor-attends-Cond%C3%A9-Nast-Traveller-India-event.jpg?width=1024;http://www.wikidata.org/entity/Q1192750;Sonam Kapoor;Indian actress;https://en.wikipedia.org/wiki/Sonam_Kapoor
http://www.wikidata.org/entity/Q64706767;https://commons.wikimedia.org/wiki/Special:Redirect/file/Semra_Caglar_G%C3%B6kalp_in_Bedlis.png?width=1024;http://www.wikidata.org/entity/Q119400415;Semra Çağlar Gökalp;;https://en.wikipedia.org/wiki/Semra_%C3%87a%C4%9Flar_G%C3%B6kalp
http://www.wikidata.org/entity/Q125146142;https://commons.wikimedia.org/wiki/Special:Redirect/file/Tomb_of_Emperor_Xuanwu_of_Northern_Wei_5.jpg?width=1024;http://www.wikidata.org/entity/Q1194968;Emperor Xuanwu of Northern Wei;Northern Wei emperor;https://en.wikipedia.org/wiki/Emperor_Xuanwu_of_Northern_Wei
